Main Genre,Main Production,Release Year,Title,Duration,Index,Number Of Votes,Score
documentary,US,2019,American Factory,110,207,21415,7.4
documentary,US,2020,Miss Americana,85,208,19151,7.4
drama,IT,2021,The Hand of God,130,209,30235,7.4
horror,US,1984,A Nightmare on Elm Street,91,210,230543,7.4
drama,IN,2021,83,163,211,23781,7.4
comedy,IN,2021,Meenakshi Sundareshwar,141,212,17141,7.4
crime,IN,2021,Kurup,155,213,11582,7.4
romance,US,2011,"Crazy, Stupid, Love.",118,214,507878,7.4
sports,DE,2021,Schumacher,112,215,21558,7.4
drama,IN,2010,Guzaarish,126,216,18466,7.4
documentary,US,2017,What the Health,97,217,28911,7.4
thriller,ES,2018,Mirage,129,218,52657,7.4
drama,US,2011,Bully,92,219,10266,7.4
romance,US,2017,Phantom Thread,130,220,128600,7.4
thriller,US,2012,Looper,119,221,566791,7.4
crime,US,2008,Felon,103,222,78039,7.4
drama,IN,2007,Life in a Metro,124,223,11934,7.4
drama,IN,2001,Kabhi Khushi Kabhie Gham,210,224,48818,7.4
drama,IN,2009,Kaminey,135,225,17136,7.4
drama,US,1999,"Girl, Interrupted",127,226,180532,7.3
thriller,IN,2012,Talaash,149,227,41752,7.3
scifi,US,1997,Starship Troopers,129,228,288960,7.3
romance,GB,2018,The Guernsey Literary & Potato Peel Pie Society,124,229,44917,7.3
drama,KR,2017,Okja,122,230,116305,7.3
comedy,IN,2010,Ishqiya,115,231,10415,7.3
comedy,US,2016,The Edge of Seventeen,104,232,120488,7.3
comedy,IN,2015,Pyaar Ka Punchnama 2,159,233,14968,7.3
thriller,AU,2018,The Nightingale,136,234,28196,7.3
fantasy,US,2005,Corpse Bride,77,235,265023,7.3
drama,FR,2005,Memoirs of a Geisha,145,236,146847,7.3
thriller,US,2019,El Camino: A Breaking Bad Movie,123,237,216847,7.3
thriller,GB,2019,Official Secrets,112,238,45200,7.3
drama,US,2005,Coach Carter,130,239,143670,7.3
drama,AU,2019,The King,140,240,119020,7.3
thriller,US,2003,Identity,90,241,240433,7.3
drama,US,2019,The Best of Enemies,133,242,16441,7.3
western,US,1966,The Professionals,117,243,16168,7.3
thriller,IN,2020,Raat Akeli Hai,149,244,17570,7.3
drama,US,1994,Little Women,115,245,57621,7.3
comedy,IN,2022,Badhaai Do,147,246,15032,7.3
thriller,US,2016,The Conjuring 2,134,247,260693,7.3
drama,US,2016,The Fundamentals of Caring,97,248,70542,7.3
western,US,2018,The Ballad of Buster Scruggs,132,249,141528,7.3
thriller,US,2017,Shot Caller,120,250,83961,7.3
comedy,US,2017,The Disaster Artist,104,251,149604,7.3
romance,US,2016,Blue Jay,81,252,17033,7.3
thriller,IN,2016,Te3n,136,253,12816,7.3
crime,US,2003,Monster,110,254,149218,7.3
crime,IN,2011,No One Killed Jessica,136,255,11665,7.2
comedy,IN,2017,Toilet: A Love Story,155,256,20675,7.2
fantasy,CN,2021,Wish Dragon,99,257,24712,7.2
crime,IN,2017,Mom,147,258,10320,7.2
thriller,US,2019,The Professor and the Madman,124,259,44418,7.2
drama,IN,2019,Kabir Singh,172,260,30949,7.2
comedy,US,2019,Dolemite Is My Name,118,261,59836,7.2
drama,US,1993,In the Line of Fire,128,262,101939,7.2
fantasy,PL,2021,The Witcher: Nightmare of the Wolf,83,263,41508,7.2
thriller,IN,2017,Ittefaq,107,264,12095,7.2
crime,GB,2022,The Tinder Swindler,114,265,57606,7.2
drama,KH,2017,First They Killed My Father,136,266,17871,7.2
scifi,US,2021,Don't Look Up,138,267,498447,7.2
thriller,IN,2016,Wazir,103,268,18681,7.2
drama,IN,2015,Gabbar Is Back,130,269,24676,7.2
documentary,US,2019,Fyre,98,270,44715,7.2
drama,GB,2015,Steve Jobs,122,271,166288,7.2
thriller,US,2007,Shooter,124,272,329417,7.2
drama,US,2013,The Butler,132,273,114013,7.2
thriller,IE,2016,The Siege of Jadotville,108,274,38308,7.2
drama,GB,2004,Closer,94,275,215678,7.2
drama,US,2018,Private Life,123,276,19023,7.2
crime,US,2020,American Murder: The Family Next Door,83,277,26355,7.2
comedy,US,2014,St. Vincent,102,278,102103,7.2
drama,US,1992,A River Runs Through It,123,279,59086,7.2
drama,DE,2000,The Patriot,165,280,270231,7.2
romance,US,2019,Five Feet Apart,116,281,61878,7.2
thriller,US,2007,Michael Clayton,120,282,163878,7.2
documentary,BR,2019,The Edge of Democracy,121,283,14605,7.2
comedy,FR,2014,Paddington,96,284,111092,7.2
comedy,XX,2013,Wedding Association,106,285,22186,7.1
horror,GB,2010,Let Me In,116,286,120208,7.1
drama,IN,2010,Raajneeti,167,287,17555,7.1
drama,GB,2008,Body of Lies,128,288,224896,7.1
drama,LT,2020,The Forgotten Battle,124,289,26368,7.1
documentary,US,2019,Knock Down the House,86,290,12418,7.1
thriller,KR,2020,The Call,112,291,29450,7.1
comedy,US,2008,Forgetting Sarah Marshall,111,292,280121,7.1
drama,GB,2013,The Railway Man,116,293,39743,7.1
documentary,US,2019,The Great Hack,114,294,22838,7.1
drama,US,2019,Paddleton,89,295,13419,7.1
thriller,US,1995,Desperado,104,296,183638,7.1
animation,JP,2016,Gantz:O,95,297,14501,7.1
horror,JP,2002,The Ring,111,298,341888,7.1
thriller,US,2011,Margin Call,107,299,125883,7.1
drama,US,2014,Copenhagen,98,300,13135,7.1
scifi,GB,2018,Black Mirror: Bandersnatch,90,301,123377,7.1
musical,US,2013,Metallica: Through the Never,93,302,17433,7.1
drama,US,1997,Seven Years in Tibet,136,303,141308,7.1
drama,NL,2018,Girl,105,304,14046,7.1
comedy,US,2016,Kung Fu Panda 3,95,305,152791,7.1
romance,US,2018,To All the Boys I've Loved Before,100,306,101175,7.1
drama,GB,2011,Arthur Christmas,97,307,58296,7.1
comedy,CA,2006,Trailer Park Boys: The Movie,95,308,12831,7.1
thriller,IN,2010,Karthik Calling Karthik,135,309,11944,7.1
drama,IN,2021,The White Tiger,125,310,58190,7.1
crime,IN,2007,Shootout at Lokhandwala,145,311,10139,7.1
drama,US,2020,The Devil All the Time,138,312,122321,7.1
comedy,US,2015,Tangerine,87,313,31385,7.1
drama,DE,2015,The Danish Girl,119,314,180805,7.1
drama,DE,2021,The Unforgivable,112,315,101975,7.1
comedy,IN,2006,Phir Hera Pheri,155,316,22505,7.1
crime,US,2016,War Dogs,114,317,208185,7.1
drama,GB,2021,The Dig,112,318,71915,7.1
action,US,1998,Blade,120,319,267181,7.1
romance,IN,2009,Luck by Chance,155,320,10206,7.1
comedy,IN,2007,Namastey London,131,321,21745,7.1
thriller,IN,2006,Don,178,322,36836,7.1
action,DE,2011,Don 2,139,323,52338,7.1
drama,IN,2004,Main Hoon Na,179,324,35142,7
drama,IN,2022,Gangubai Kathiawadi,157,325,44045,7
thriller,FR,1998,Croupier,94,326,21382,7
drama,HU,2020,Pieces of a Woman,127,327,47795,7
horror,BE,2016,Raw,98,328,72460,7
drama,GB,2016,Loving,123,329,34139,7
comedy,US,2004,Harold & Kumar Go to White Castle,88,330,193053,7
drama,IN,2021,Haseen Dillruba,135,331,25771,7
drama,IT,2020,Rose Island,117,332,20019,7
drama,NL,2021,Ferry,106,333,10748,7
drama,IE,2017,Handsome Devil,95,334,13708,7
drama,IN,2020,Torbaaz,132,335,17828,7
drama,HK,2015,Ip Man 3,105,336,54128,7
thriller,IN,2017,The Foreigner,113,337,112487,7
fantasy,JP,2018,Mirai,98,338,14983,7
musical,US,2017,Gaga: Five Foot Two,100,339,12825,7
fantasy,US,2018,The Christmas Chronicles,104,340,71182,7
drama,IN,2018,Sarkar,164,341,18453,7
thriller,US,2008,Rambo,92,342,228799,7
drama,IN,2015,Dil Dhadakne Do,170,343,17149,7
drama,US,2011,Soul Surfer,112,344,49101,7
comedy,US,1996,Happy Gilmore,92,345,217534,7
thriller,US,2018,Den of Thieves,140,346,107701,7
drama,GB,2017,The Zookeeper's Wife,122,347,42808,7
horror,ES,2019,The Platform,94,348,207877,7
crime,US,2009,Public Enemies,143,349,297525,7
drama,CN,2019,Ip Man 4: The Finale,107,350,30694,7
drama,US,2002,John Q,116,351,131999,7
romance,IN,2008,Fashion,167,352,12468,6.9
musical,US,2020,Ma Rainey's Black Bottom,94,353,50275,6.9
drama,US,1999,Any Given Sunday,162,354,118479,6.9
western,US,1980,The Long Riders,99,355,11329,6.9
drama,US,2014,Get on Up,139,356,24456,6.9
romance,IN,2013,Fukrey,137,357,11656,6.9
comedy,IN,2006,Chup Chup Ke,165,358,10528,6.9
comedy,US,2019,Then Came You,93,359,12356,6.9
thriller,FR,2019,The Wolf's Call,115,360,17236,6.9
animation,US,2009,Cloudy with a Chance of Meatballs,90,361,226225,6.9
drama,US,2017,Our Souls at Night,101,362,13360,6.9
crime,IN,2021,Chandigarh Kare Aashiqui,117,363,12303,6.9
romance,IN,2007,Welcome,160,364,21799,6.9
drama,IT,2018,Everybody Knows,132,365,34009,6.9
drama,US,2017,The Meyerowitz Stories (New and Selected),112,366,47971,6.9
drama,US,2017,I Don't Feel at Home in This World Anymore,93,367,55549,6.9
thriller,US,2019,The Highwaymen,132,368,88714,6.9
thriller,US,2015,Legend,132,369,175273,6.9
drama,IN,2020,AK vs AK,108,370,14048,6.9
comedy,US,1991,My Girl,103,371,79800,6.9
crime,DK,2016,Amanda Knox,92,372,23969,6.9
comedy,IN,2014,2 States,149,373,25344,6.9
drama,CA,2021,The Power of the Dog,126,374,158487,6.9
comedy,US,2020,The Half of It,104,375,34959,6.9
drama,GB,2018,Outlaw King,121,376,69834,6.9
drama,IN,2014,Mary Kom,122,377,10656,6.9
drama,FR,2015,Suffragette,106,378,41529,6.9
fantasy,US,2010,Legend of the Guardians: The Owls of Ga'Hoole,100,379,82623,6.9
drama,US,2016,Christine,115,380,14977,6.9
thriller,ID,2018,The Night Comes for Us,121,381,25500,6.9
comedy,NO,2021,The Trip,113,382,19706,6.9
drama,US,2019,The Dirt,108,383,47603,6.9
drama,US,1986,Top Gun,110,384,329656,6.9
romance,IN,2022,Radhe Shyam,138,385,21328,6.9
fantasy,US,2018,Sorry to Bother You,111,386,75653,6.9
