Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
TV-Y,"Angry Birds Toons tells how life is not always easy on Piggie Island. Red and angry feathered companions, Chuck, Mathilda, Bomb, Blues and Terence must come together to protect their eggs - and future - of cunning plots of Bad Piggies. Having only guides for their intelligence and determination, they absolutely must thwart the advanced technology Piggies are also incredibly too many. Nevertheless, they have a huge advantage ... the incredible stupidity of the Piggies! Angry Birds Toon gives life to characters and adventures of one of the most popular games in history and presents the amusing world, and cunning of Birds and their sworn enemies, the Piggies.","['comedy', 'family', 'fantasy', 'animation', 'action', 'european']",ts2161,tt3012598,['FI'],2013,Angry Birds Toons,SHOW,6.2,835,2,4,6.854,6.7
TV-14,"Akiva and Shulem Shtisel, father and son, sit on a little balcony overlooking streets of the Geula neighborhood of Jerusalem. A year has passed since the mother died. All the other children have left the nest, and only Shulam and Akiva remain - quarreling, making up, and laughing about themselves and the rest of the world. All will change when Akiva meets Elisheva.",['drama'],ts32271,tt3069894,['IL'],2013,Shtisel,SHOW,8.6,7062,49,3,14.873,8.4
TV-MA,"One cannot quench his all-consuming thirst. The other cannot tame the beast clawing its way out. In the sleepy Pennsylvania village of Hemlock Grove, two young men struggle to accept painful truths: about family, themselves, the mystery of the White Tower - and a terrifying new threat so powerful it will turn them from predators into prey.","['thriller', 'scifi', 'drama', 'fantasy', 'horror']",ts20097,tt2309295,['US'],2013,Hemlock Grove,SHOW,7,39998,49,3,22.596,7.3
TV-Y7,The Rabbids are back in their new tv show. The rabbids discovers new things and learn what they do. But that they don't know is that they are curious.,"['animation', 'comedy', 'family', 'european']",ts22383,tt3105674,"['FR', 'US']",2013,Rabbids Invasion,SHOW,5.4,1930,10,4,11.398,6
,"Benjamin, a young German computer whiz, is invited to join a subversive hacker group that wants to be noticed on the world's stage.","['thriller', 'european', 'scifi', 'crime', 'drama']",tm143642,tt4426376,['DE'],2014,Who Am I,MOVIE,7.5,55044,105,,26.737,7.7
TV-PG,"Zach hires a camera crew to film him throughout his daily life as a part of his quest to become an over-night celebrity - even though he possesses no real talent. From Zach's attempts to become a celebrity chef or a ring-tone recording artist to purposefully going missing, he'll try any avenue to get noticed and stop at nothing until he reaches fame.",['comedy'],ts36836,tt1748277,['US'],2013,Zach Stone Is Gonna Be Famous,SHOW,8.3,3744,20,1,3.795,8.5
TV-14,In a world where magic is not a fairy tale but has existed for one hundred years siblings Tatsuya and Miyuki Shiba prepare to begin their studies at the elite Private Magic University Affiliated High School (Magic High School for short). Entering on different levels of the academic spectrum the two turn the once peaceful campus into a chaotic one.,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",ts22426,tt3874528,['JP'],2014,The Irregular at Magic High School,SHOW,7.1,3386,23,2,46.794,7.9
TV-14,ErtuÄŸrul Bey and the Knights Templar in the 13th century Alba and step and step with the struggle against brutal Mongols depicts the process of establishing the Ottoman principality.,"['action', 'war', 'drama', 'history']",ts42168,tt4320258,['TR'],2014,Resurrection: Ertugrul,SHOW,7.9,36177,57,5,30.409,7.7
R,Hollywood veteran Bing Russell creates the only independent baseball team in the countryâ€”alarming the baseball establishment and sparking the meteoric rise of the 1970s Portland Mavericks.,"['documentation', 'sport']",tm148976,tt3445270,['US'],2014,The Battered Bastards of Baseball,MOVIE,8,4043,80,,6.367,7.6
TV-G,Follow the lives of an elite group of young dancers who train at The Next Step Studio.,"['drama', 'family', 'romance']",ts35282,tt2374744,['CA'],2013,The Next Step,SHOW,6,1950,24,7,9.889,7.2
R,"A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.",['comedy'],tm136601,tt2463288,['US'],2014,Walk of Shame,MOVIE,6,54465,95,,23.897,5.9
,"Follow the shocking, yet humorous, journey of an aspiring environmentalist, as he daringly seeks to find the real solution to the most pressing environmental issues and true path to sustainability.",['documentation'],tm151716,tt3302820,['US'],2014,Cowspiracy: The Sustainability Secret,MOVIE,8.2,25133,90,,6.207,7.8
PG,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the worldÂ¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?","['comedy', 'animation', 'fantasy', 'family']",tm166628,tt2017020,['US'],2013,The Smurfs 2,MOVIE,5.3,42011,105,,32.819,5.8
PG-13,"200 years after his shocking creation, Dr. Frankenstein's creature, Adam, still walks the earth. But when he finds himself in the middle of a war over the fate of humanity, Adam discovers he holds the key that could destroy humankind.","['thriller', 'scifi', 'horror', 'action', 'fantasy']",tm140342,tt1418377,"['AU', 'US']",2014,"I, Frankenstein",MOVIE,5.1,80985,92,,22.094,5.3
TV-G,The story of a 10-year-old girl Dawn Haley whose sibling rivalry with her three brothers is heightened by the fact that they are quadruplets.,"['family', 'comedy']",ts20883,tt3596176,['US'],2014,"Nicky, Ricky, Dicky & Dawn",SHOW,5.1,2642,23,4,27.683,7.3
R,An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,"['thriller', 'action', 'crime']",tm151447,tt2402157,"['GB', 'US']",2014,The November Man,MOVIE,6.2,67737,108,,19.151,6.1
PG-13,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.","['drama', 'comedy', 'scifi', 'romance', 'fantasy']",tm147913,tt2338151,['IN'],2014,PK,MOVIE,8.1,181406,153,,10.001,7.7
TV-Y,"The Cat in the Hat is back -- and this time, he's teaching Sally and her brother, Nick, some awfully nifty things to think about!","['animation', 'family', 'fantasy', 'scifi', 'comedy']",ts11794,tt1699440,"['CA', 'US', 'GB']",2013,The Cat in the Hat Knows a Lot About That!,SHOW,6.4,634,19,3,5.109,7.8
